Palliative Care Services,,,Disability Support Services,,
,Number,Percentage,,Number,Percentage
Persons who received palliative care services,"10,169",77.6%,Persons who required disability support services,4819,36.8%
Persons who did not receive palliative care services,2573,19.6%,Persons who did not require disability support services,5242,40.0%
Unknown,360,2.8%,Unknown,3041,23.2%
Persons who received disability support services,4314,89.5%,,,
Palliative care was accessible if needed,2250,87.5%,Persons who required but did not receive disability support services,196,4.1%
Disability support services were accessible if needed,147,75.%,,,
Palliative Care - Duration,,,Disability Support - Duration,,
Less than 2 weeks,2349,23.1%,Less than 6 months,1715,39.8%
2 weeks to under 1 month,1848,18.2%,6 months or longer,1655,38.4%
1 month or more,5071,49.9%,Unknown,944,21.9%
Unknown,901,8.9%,,,
"EXPLANATORY NOTES: This chart represents MAID deaths where the report was received by Health Canada by January 31, 2023. For 2022, this represents 13,102 MAID deaths.",,,,,
