Neurological Condition,"Percent, 2021","Percent, 2022"
Parkinson's Disease,18.0%,20.7%
ALS,20.9%,18.5%
Multiple Sclerosis,14.0%,11.3%
Dementia,7.9%,9.0%
Spinal Stenosis,8.0%,8.1%
Progressive Supranuclear Palsy,4.9%,4.3%
Other Neurological Conditions,27.2%,28.5%
