Reasons for withdrawal,2019,2020,2021,2022
Changed their mind,74.1%,71.8%,74.0%,75.9%
Palliative care measures are sufficient,50.7%,54.1%,50.3%,41.8%
Other,15.7%,13.7%,16.2%,13.4%
Family does not support MAID,11.0%,10.1%,8.4%,7.1%
Unknown,2.8%,1.3%,5.3%,4.1%
Withdrawal immediately before MAID,17.2%,24.2%,13.4%,15.6%
