Jurisdiction,"Percent of Jurisdictional Deaths, 2019","Percent of Jurisdictional Deaths, 2020","Percent of Jurisdictional Deaths, 2021","Percent of Jurisdictional Deaths, 2022"
NL,0.4%,0.9%,1.2%,1.5%
PE,1.4%,2.7%,3.0%,3.0%
NS,1.5%,1.9%,2.5%,2.5%
NB,1.8%,2.1%,2.7%,2.9%
QC,2.4%,3.1%,4.7%,6.6%
ON,1.7%,2.1%,2.7%,3.2%
MB,1.6%,1.8%,2.1%,1.8%
SK,1.0%,1.6%,2.3%,2.3%
AB,1.4%,1.9%,2.0%,2.6%
BC,3.3%,3.8%,4.8%,5.5%
Canada,n/a,n/a,n/a,4.1%
