Nature of Suffering,Percent Total (2022),Percent Male,Percent Female
Neurological,50.0%,57.4%,44.7%
Other Condition,37.1%,27.9%,43.6%
Multiple Comorbidities,23.5%,17.4%,27.8%
Cardiovascular,18.6%,18.4%,18.7%
Respiratory,9.3%,8.9%,9.5%
Cancer,8.2%,8.4%,8.1%
Other Organ Failure,3.7%,3.7%,3.7%
